scenario,participant_id,name,side,changed,preference_change,score_delta,before_assigned,after_assigned,before_teammates,after_teammates,before_ranks,after_ranks,before_load,after_load,before_score,after_score,before_capacity,after_capacity
target-four,s06,Finley,,True,equal,0.0,"[""housing""]","[""housing""]","[""s04"", ""s05""]","[""s01"", ""s04"", ""s05""]",[3],[3],2,3,0.725,0.725,,
target-four,s07,Gray,,True,equal,0.0,"[""transit""]","[""transit""]","[""s08"", ""s09""]","[""s03"", ""s08"", ""s09""]",[1],[1],2,3,0.975,0.975,,
target-four,s08,Harper,,True,equal,0.0,"[""transit""]","[""transit""]","[""s07"", ""s09""]","[""s03"", ""s07"", ""s09""]",[2],[2],2,3,0.85,0.85,,
target-four,s09,Indigo,,True,equal,0.0,"[""transit""]","[""transit""]","[""s07"", ""s08""]","[""s03"", ""s07"", ""s08""]",[2],[2],2,3,0.85,0.85,,
target-four,s10,Jules,,True,higher_score,0.20000000000000007,"[""food""]","[""food""]","[""s11"", ""s12""]","[""s02"", ""s11"", ""s12""]",[1],[1],2,3,0.975,1.175,,
target-four,s11,Kai,,True,equal,0.0,"[""food""]","[""food""]","[""s10"", ""s12""]","[""s02"", ""s10"", ""s12""]",[2],[2],2,3,0.85,0.85,,
target-four,s12,Lane,,True,equal,0.0,"[""food""]","[""food""]","[""s10"", ""s11""]","[""s02"", ""s10"", ""s11""]",[2],[2],2,3,0.85,0.85,,
close-climate,s01,Alex,,True,lower_score,-0.125,"[""climate""]","[""housing""]","[""s02"", ""s03""]","[""s02"", ""s03""]",[1],[2],2,2,0.975,0.85,,
close-climate,s02,Blair,,True,higher_score,0.125,"[""climate""]","[""housing""]","[""s01"", ""s03""]","[""s01"", ""s03""]",[2],[1],2,2,0.85,0.975,,
close-climate,s03,Casey,,True,higher_score,0.375,"[""climate""]","[""housing""]","[""s01"", ""s02""]","[""s01"", ""s02""]",[null],[2],2,2,0.475,0.85,,
close-climate,s04,Devon,,True,lower_score,-0.125,"[""housing""]","[""food""]","[""s05"", ""s06""]","[""s05"", ""s06""]",[1],[2],2,2,0.975,0.85,,
close-climate,s05,Emery,,True,higher_score,0.125,"[""housing""]","[""food""]","[""s04"", ""s06""]","[""s04"", ""s06""]",[2],[1],2,2,0.85,0.975,,
close-climate,s06,Finley,,True,lower_score,-0.25,"[""housing""]","[""food""]","[""s04"", ""s05""]","[""s04"", ""s05""]",[3],[null],2,2,0.725,0.475,,
close-climate,s07,Gray,,False,equal,0.0,"[""transit""]","[""transit""]","[""s08"", ""s09""]","[""s08"", ""s09""]",[1],[1],2,2,0.975,0.975,,
close-climate,s08,Harper,,False,equal,0.0,"[""transit""]","[""transit""]","[""s07"", ""s09""]","[""s07"", ""s09""]",[2],[2],2,2,0.85,0.85,,
close-climate,s09,Indigo,,False,equal,0.0,"[""transit""]","[""transit""]","[""s07"", ""s08""]","[""s07"", ""s08""]",[2],[2],2,2,0.85,0.85,,
close-climate,s10,Jules,,True,lower_score,-0.25,"[""food""]","[""library""]","[""s11"", ""s12""]","[""s11"", ""s12""]",[1],[3],2,2,0.975,0.725,,
close-climate,s11,Kai,,True,lower_score,-0.375,"[""food""]","[""library""]","[""s10"", ""s12""]","[""s10"", ""s12""]",[2],[null],2,2,0.85,0.475,,
close-climate,s12,Lane,,True,higher_score,0.125,"[""food""]","[""library""]","[""s10"", ""s11""]","[""s10"", ""s11""]",[2],[1],2,2,0.85,0.975,,
project-priority,s01,Alex,,True,lower_score,-0.125,"[""climate""]","[""housing""]","[""s02"", ""s03""]","[""s02"", ""s03""]",[1],[2],2,2,0.975,0.85,,
project-priority,s02,Blair,,True,higher_score,0.125,"[""climate""]","[""housing""]","[""s01"", ""s03""]","[""s01"", ""s03""]",[2],[1],2,2,0.85,0.975,,
project-priority,s03,Casey,,True,higher_score,0.375,"[""climate""]","[""housing""]","[""s01"", ""s02""]","[""s01"", ""s02""]",[null],[2],2,2,0.475,0.85,,
project-priority,s04,Devon,,True,lower_score,-0.35,"[""housing""]","[""food""]","[""s05"", ""s06""]","[""s05"", ""s09""]",[1],[2],2,2,0.975,0.625,,
project-priority,s05,Emery,,True,higher_score,0.09999999999999998,"[""housing""]","[""food""]","[""s04"", ""s06""]","[""s04"", ""s09""]",[2],[1],2,2,0.85,0.95,,
project-priority,s06,Finley,,True,lower_score,-0.025000000000000022,"[""housing""]","[""climate""]","[""s04"", ""s05""]","[""s10"", ""s11""]",[3],[1],2,2,0.725,0.7,,
project-priority,s07,Gray,,True,lower_score,-0.35,"[""transit""]","[""library""]","[""s08"", ""s09""]","[""s08"", ""s12""]",[1],[2],2,2,0.975,0.625,,
project-priority,s08,Harper,,True,higher_score,0.09999999999999998,"[""transit""]","[""library""]","[""s07"", ""s09""]","[""s07"", ""s12""]",[2],[1],2,2,0.85,0.95,,
project-priority,s09,Indigo,,True,lower_score,-0.35,"[""transit""]","[""food""]","[""s07"", ""s08""]","[""s04"", ""s05""]",[2],[1],2,2,0.85,0.5,,
project-priority,s10,Jules,,True,lower_score,-0.35,"[""food""]","[""climate""]","[""s11"", ""s12""]","[""s06"", ""s11""]",[1],[2],2,2,0.975,0.625,,
project-priority,s11,Kai,,True,lower_score,-0.09999999999999998,"[""food""]","[""climate""]","[""s10"", ""s12""]","[""s06"", ""s10""]",[2],[1],2,2,0.85,0.75,,
project-priority,s12,Lane,,True,lower_score,-0.35,"[""food""]","[""library""]","[""s10"", ""s11""]","[""s07"", ""s08""]",[2],[1],2,2,0.85,0.5,,
